;languages;keywords
32;['spanish'];['beer', 'art', 'rafting', 'sport']
33;['bulgarian'];['sport', 'museums', 'beer', 'history']
34;['dutch'];['food', 'archeology', 'sport', 'cinema', 'beer', 'wine']
35;['dutch'];['wine', 'beer', 'sport', 'art', 'tracking']
36;['italian'];['archeology', 'countryside', 'tracking']
37;['dutch'];['museums', 'history', 'rafting']
38;['english'];['food', 'history', 'rafting', 'museums']
39;['deutsche'];['music', 'history', 'art']
40;['deutsche'];['rafting', 'music', 'beer', 'sport', 'cinema', 'history', 'art', 'museums']
41;['english'];['food', 'museums', 'countryside', 'literature']
42;['french'];['rafting', 'art', 'museums', 'beer', 'literature', 'countryside', 'wine']
43;['bulgarian'];['literature', 'museums', 'wine', 'sport', 'archeology']
44;['chinese'];[]
45;['chinese'];['tracking', 'art', 'beer', 'museums', 'cinema', 'rafting', 'archeology']
46;['dutch'];['cinema', 'rafting', 'archeology', 'literature', 'tracking', 'countryside', 'wine', 'beer']
47;['italian'];['beer', 'tracking', 'wine', 'music', 'archeology', 'museums']
48;['dutch'];['sport', 'beer', 'history', 'archeology', 'wine', 'tracking', 'countryside', 'rafting', 'literature']
49;['dutch'];['archeology', 'museums', 'sport', 'beer', 'history', 'music']
50;['english'];['beer', 'food', 'music', 'countryside']
51;['dutch'];['art', 'music', 'archeology', 'beer', 'wine', 'rafting', 'sport']
52;['french'];['music', 'countryside', 'art', 'beer', 'history']
53;['english'];['sport', 'art', 'beer']
54;['italian'];['museums', 'tracking', 'music']
55;['spanish'];['rafting', 'archeology', 'countryside', 'cinema', 'food', 'wine']
56;['spanish'];['literature']
57;['dutch'];['tracking', 'sport', 'literature', 'museums', 'art', 'food', 'rafting']
58;['deutsche'];['countryside', 'art', 'tracking', 'music', 'history', 'beer']
59;['bulgarian'];['history', 'music', 'archeology', 'food', 'tracking', 'rafting']
60;['dutch'];['rafting', 'cinema', 'food', 'music', 'beer']
61;['english'];['countryside', 'cinema', 'beer', 'tracking']
62;['dutch'];['tracking', 'history', 'rafting', 'cinema', 'archeology']
63;['italian'];['rafting', 'archeology', 'art', 'tracking']
64;['deutsche'];['cinema', 'wine', 'rafting', 'tracking', 'music']
65;['english'];['literature', 'sport', 'wine']
66;['italian'];['rafting']
67;['bulgarian'];['food', 'literature', 'rafting', 'archeology', 'history', 'museums']
68;['chinese'];['wine', 'countryside', 'art']
69;['english'];['rafting', 'cinema', 'literature', 'countryside', 'history', 'food', 'sport']
70;['deutsche'];['museums', 'food', 'tracking']
71;['french'];['art', 'wine', 'literature', 'rafting', 'archeology', 'tracking', 'museums']
72;['chinese'];['art', 'wine']
73;['chinese'];['literature', 'rafting', 'art', 'tracking']
74;['dutch'];['wine', 'sport', 'museums', 'countryside', 'cinema', 'archeology', 'rafting']
75;['italian'];['literature', 'archeology', 'music', 'art', 'rafting']
76;['deutsche'];['rafting', 'sport', 'art', 'archeology', 'countryside', 'beer', 'wine', 'museums']
77;['french'];['countryside', 'literature', 'sport', 'cinema', 'archeology', 'music', 'beer', 'wine']
78;['bulgarian'];['archeology', 'literature', 'rafting', 'art']
79;['deutsche'];['museums', 'wine', 'food', 'literature']
80;['chinese'];['rafting', 'museums', 'history', 'sport', 'beer']
81;['dutch'];['history', 'countryside', 'food', 'cinema', 'tracking', 'museums', 'archeology']
82;['chinese'];['music', 'sport', 'museums', 'beer']
83;['spanish'];['history']
84;['deutsche'];['music']
85;['spanish'];['beer', 'cinema', 'history', 'art', 'tracking', 'sport', 'food', 'literature']
86;['bulgarian'];['wine', 'history', 'sport', 'art', 'cinema', 'archeology', 'rafting', 'countryside', 'food', 'literature', 'music', 'museums', 'beer']
87;['english'];['museums', 'rafting', 'music', 'art']
88;['french'];['history', 'food', 'countryside']
89;['deutsche'];['museums', 'tracking', 'countryside', 'music', 'archeology', 'art', 'rafting']
90;['english'];['museums', 'food', 'wine', 'literature', 'music', 'sport']
91;['english'];['food']
92;['spanish'];['tracking', 'museums', 'sport']
93;['french'];['cinema', 'sport', 'history', 'tracking', 'music', 'literature', 'art', 'archeology', 'countryside', 'beer']
94;['french'];['literature', 'rafting', 'beer']
95;['english'];['countryside', 'museums', 'beer']
96;['dutch'];['sport', 'beer', 'food', 'art', 'archeology']
97;['french'];['cinema', 'countryside', 'rafting', 'literature', 'history', 'food', 'wine']
98;['french'];['history', 'beer', 'wine']
99;['bulgarian'];['history', 'tracking', 'literature']
100;['spanish'];['art', 'cinema', 'literature', 'rafting', 'museums', 'beer', 'countryside', 'history', 'food', 'music']
101;['deutsche'];['art', 'music', 'countryside', 'sport', 'history', 'wine', 'cinema', 'tracking']
102;['english'];['rafting', 'literature', 'music', 'food', 'sport', 'beer', 'art', 'tracking']
103;['french'];['countryside', 'beer', 'cinema', 'rafting', 'history', 'music', 'food', 'literature', 'sport', 'museums', 'art']
104;['italian'];['food', 'art', 'archeology', 'museums', 'history', 'countryside', 'sport']
105;['french'];['archeology']
106;['italian'];['museums', 'music', 'cinema', 'countryside', 'archeology', 'wine', 'tracking']
107;['spanish'];['music', 'countryside', 'literature', 'wine', 'beer', 'museums', 'archeology', 'cinema', 'sport', 'rafting']
108;['bulgarian'];['tracking', 'art', 'wine']
109;['bulgarian'];['rafting', 'music', 'archeology', 'countryside']
110;['chinese'];['tracking', 'food', 'rafting', 'beer', 'wine']
111;['spanish'];['countryside', 'history', 'tracking', 'cinema', 'sport', 'rafting']
112;['chinese'];['tracking', 'history', 'beer', 'museums']
113;['chinese'];['beer', 'history', 'rafting', 'museums', 'wine', 'food', 'tracking', 'literature', 'cinema']
114;['spanish'];['museums', 'history', 'food', 'tracking']
115;['english'];['food', 'cinema', 'beer', 'rafting']
116;['chinese'];['beer', 'countryside', 'music']
117;['deutsche'];['literature', 'food', 'music', 'history', 'archeology', 'wine', 'rafting']
118;['deutsche'];['tracking', 'rafting', 'museums', 'art', 'music', 'sport', 'beer', 'cinema']
119;['chinese'];['cinema', 'art', 'rafting', 'history', 'museums', 'archeology', 'food', 'literature', 'beer']
120;['bulgarian'];['literature', 'wine', 'archeology']
121;['dutch'];['rafting', 'beer', 'archeology', 'food']
122;['spanish'];['food', 'art', 'music', 'rafting']
123;['dutch'];['cinema', 'tracking', 'food', 'museums', 'literature', 'history']
124;['spanish'];['art', 'archeology', 'countryside', 'wine', 'history', 'tracking', 'sport']
125;['dutch'];['literature', 'museums', 'rafting', 'beer']
126;['bulgarian'];['archeology', 'literature', 'food', 'art', 'museums']
127;['italian'];['museums', 'countryside', 'food', 'tracking', 'archeology']
128;['italian'];['archeology', 'history', 'art', 'wine', 'beer', 'countryside']
129;['bulgarian'];['tracking', 'museums', 'sport']
130;['chinese'];['art', 'food']
131;['english'];['wine', 'art']
132;['dutch'];['rafting', 'music', 'sport', 'art']
133;['deutsche'];['countryside', 'sport']
134;['italian'];['countryside', 'sport', 'beer', 'history']
135;['italian'];['cinema', 'tracking', 'literature', 'museums']
136;['spanish'];['food', 'cinema', 'countryside', 'beer', 'tracking', 'music']
137;['chinese'];['food', 'archeology', 'art', 'museums', 'history', 'wine', 'cinema', 'beer']
138;['french'];['wine', 'archeology', 'cinema', 'countryside', 'beer']
139;['chinese'];['countryside', 'tracking', 'rafting', 'art', 'museums']
140;['french'];['tracking', 'art']
141;['dutch'];['music', 'museums', 'countryside', 'cinema', 'wine', 'food', 'archeology']
142;['deutsche'];['tracking', 'rafting', 'food', 'cinema', 'museums']
143;['french'];['countryside', 'history', 'food', 'rafting', 'tracking', 'museums']
144;['spanish'];['music', 'literature', 'food', 'wine']
145;['french'];['archeology', 'tracking', 'countryside', 'beer', 'food', 'sport', 'history']
146;['dutch'];['literature', 'beer', 'history', 'museums', 'rafting']
147;['deutsche'];['rafting', 'archeology', 'cinema', 'sport', 'wine', 'literature', 'beer']
148;['chinese'];['cinema', 'countryside', 'art', 'food', 'beer', 'literature', 'museums', 'sport', 'wine']
149;['french'];['wine', 'archeology', 'museums', 'literature', 'tracking']
150;['french'];['beer', 'food', 'history', 'museums']
151;['italian'];['wine', 'sport', 'literature', 'rafting']
152;['italian'];['museums', 'rafting', 'art']
153;['french'];['wine', 'cinema']
154;['bulgarian'];['cinema', 'beer', 'music', 'archeology']
155;['deutsche'];['countryside', 'sport', 'literature']
156;['deutsche'];['beer', 'museums', 'music']
157;['english'];['tracking', 'art', 'music']
158;['deutsche'];['art', 'wine', 'cinema', 'literature']
159;['chinese'];['museums', 'history', 'archeology']
160;['italian'];['archeology', 'rafting', 'cinema', 'history', 'tracking']
161;['italian'];['countryside', 'museums', 'cinema', 'beer']
162;['dutch'];['tracking', 'cinema', 'art', 'wine', 'rafting', 'sport', 'literature', 'food']
163;['english'];['archeology', 'art', 'food', 'wine']
164;['italian'];['archeology', 'beer', 'history', 'food', 'art', 'literature']
165;['english'];['archeology', 'literature', 'tracking', 'beer', 'art']
166;['french'];['wine', 'music', 'art', 'countryside', 'food', 'sport', 'history', 'archeology', 'cinema']
167;['italian'];['literature', 'tracking', 'wine', 'archeology', 'cinema', 'beer', 'food', 'sport']
168;['deutsche'];['literature', 'museums']
169;['deutsche'];['archeology', 'history', 'beer', 'rafting']
170;['bulgarian'];['archeology', 'tracking', 'countryside', 'beer', 'sport']
171;['english'];['music', 'rafting', 'countryside', 'wine', 'tracking', 'beer', 'literature', 'history']
172;['spanish'];['rafting', 'history', 'food', 'beer', 'art', 'music', 'wine', 'countryside', 'cinema', 'museums', 'sport', 'tracking']
173;['bulgarian'];['sport', 'literature', 'archeology', 'music', 'food', 'art', 'museums', 'history']
174;['chinese'];['food', 'music', 'rafting']
175;['bulgarian'];['food']
176;['italian'];['literature', 'music', 'history', 'countryside', 'museums']
177;['spanish'];['music', 'cinema', 'rafting', 'beer', 'tracking']
178;['bulgarian'];['wine', 'rafting', 'countryside', 'art']
179;['italian'];['art', 'cinema', 'countryside', 'beer', 'history']
180;['deutsche'];['art', 'beer', 'countryside', 'music', 'tracking']
181;['spanish'];['rafting', 'music', 'tracking', 'literature', 'countryside', 'archeology', 'history']
182;['italian'];['sport', 'countryside', 'beer']
183;['italian'];['museums', 'cinema', 'literature', 'history', 'archeology']
184;['dutch'];['wine', 'countryside', 'museums', 'art', 'rafting']
185;['italian'];['rafting', 'archeology', 'art', 'museums', 'beer']
186;['italian'];['music', 'art', 'museums', 'history', 'food', 'wine', 'countryside']
187;['spanish'];['beer', 'cinema', 'tracking', 'archeology', 'music', 'sport']
188;['chinese'];['wine', 'museums', 'tracking', 'history', 'cinema']
189;['bulgarian'];['beer', 'cinema', 'literature', 'art', 'countryside']
190;['english'];['wine', 'music', 'tracking', 'food', 'beer']
191;['dutch'];['food', 'rafting', 'archeology']
192;['spanish'];['archeology', 'museums']
193;['english'];['wine', 'music', 'tracking', 'beer', 'art', 'literature', 'sport']
194;['deutsche'];['beer', 'food', 'music', 'archeology', 'museums', 'tracking', 'history']
195;['chinese'];['cinema', 'history', 'food', 'art', 'tracking']
196;['bulgarian'];['beer', 'sport', 'music', 'literature', 'archeology', 'tracking']
197;['dutch'];['museums', 'wine', 'rafting', 'literature']
198;['spanish'];['art', 'history', 'wine', 'countryside', 'museums', 'cinema', 'sport']
199;['french'];['tracking', 'food']
200;['bulgarian'];['beer', 'museums', 'sport', 'wine', 'archeology', 'art', 'countryside', 'cinema', 'history', 'tracking']
201;['bulgarian'];['beer', 'music', 'wine', 'history', 'tracking', 'art', 'rafting', 'cinema', 'literature']
202;['spanish'];['rafting', 'sport', 'cinema', 'beer', 'museums', 'wine']
203;['deutsche'];['history', 'music', 'cinema', 'literature', 'wine', 'museums']
204;['french'];['history', 'tracking', 'countryside', 'wine', 'food', 'art']
205;['spanish'];['food', 'countryside', 'literature', 'wine', 'beer', 'art', 'history', 'museums']
206;['italian'];['rafting', 'countryside', 'history', 'art', 'museums', 'wine', 'food', 'music']
207;['deutsche'];['museums', 'wine', 'music', 'sport', 'art']
208;['bulgarian'];['history', 'literature', 'wine', 'archeology', 'beer']
209;['dutch'];['literature', 'wine']
210;['deutsche'];['history', 'museums', 'music', 'food', 'tracking']
211;['deutsche'];['sport']
212;['deutsche'];['museums', 'beer', 'countryside', 'history', 'sport']
213;['spanish'];['wine', 'archeology', 'beer']
214;['english'];['countryside', 'literature', 'tracking', 'wine', 'sport', 'cinema', 'music', 'food', 'art']
215;['italian'];['cinema', 'art', 'food', 'beer', 'wine', 'rafting']
216;['dutch'];['wine', 'rafting', 'history']
217;['italian'];['beer', 'wine', 'history', 'art', 'music']
218;['bulgarian'];['beer', 'cinema', 'history', 'museums', 'art']
219;['chinese'];['archeology', 'wine', 'music', 'countryside', 'rafting', 'beer']
220;['french'];['beer', 'rafting', 'archeology', 'art', 'history']
221;['chinese'];['food', 'literature', 'sport', 'countryside', 'art', 'archeology', 'museums']
222;['bulgarian'];['countryside', 'wine', 'tracking', 'art', 'rafting']
223;['italian'];['art', 'wine', 'music', 'archeology', 'beer', 'countryside', 'sport', 'rafting']
224;['deutsche'];['wine', 'history', 'music', 'art', 'literature', 'food', 'tracking', 'countryside', 'beer', 'sport', 'museums']
225;['french'];['rafting', 'cinema', 'museums', 'music', 'art', 'sport', 'beer']
226;['spanish'];['tracking', 'history', 'beer', 'art', 'food']
227;['dutch'];['art', 'beer', 'music', 'sport', 'rafting', 'food', 'archeology']
228;['french'];['sport', 'rafting']
229;['bulgarian'];['food', 'rafting', 'archeology', 'literature']
230;['spanish'];['rafting', 'history', 'cinema', 'countryside', 'sport']
231;['spanish'];['food', 'sport', 'cinema', 'art', 'music', 'rafting', 'literature']
232;['deutsche'];['food', 'sport', 'cinema', 'archeology', 'wine', 'rafting']
233;['french'];['archeology', 'museums', 'tracking', 'countryside', 'rafting']
234;['french'];['cinema', 'beer', 'museums', 'art', 'sport']
235;['chinese'];['tracking', 'literature', 'sport', 'museums', 'food', 'archeology', 'wine', 'history']
236;['english'];['countryside', 'sport', 'museums', 'tracking', 'music']
237;['dutch'];['wine', 'countryside', 'sport', 'literature', 'food', 'beer']
238;['spanish'];['beer', 'history', 'wine', 'music', 'museums', 'art', 'tracking']
239;['bulgarian'];['history']
240;['deutsche'];['archeology', 'countryside', 'beer', 'museums', 'food']
241;['french'];['food', 'archeology', 'tracking', 'beer', 'museums']
242;['chinese'];['countryside', 'tracking', 'history', 'archeology', 'music', 'literature']
243;['chinese'];[]
244;['deutsche'];['art', 'literature', 'archeology', 'sport', 'cinema', 'wine', 'history']
245;['english'];['sport', 'wine', 'countryside']
246;['chinese'];['tracking', 'museums', 'countryside', 'history', 'rafting', 'music', 'wine', 'literature', 'archeology']
247;['chinese'];['cinema']
248;['italian'];['rafting', 'history', 'sport', 'art', 'literature', 'countryside']
249;['italian'];['countryside', 'beer', 'art', 'history']
250;['spanish'];['rafting', 'tracking', 'music', 'wine', 'museums', 'countryside', 'history', 'archeology', 'food', 'cinema']
251;['french'];['rafting', 'archeology', 'countryside', 'wine']
252;['deutsche'];['museums', 'rafting']
253;['spanish'];['rafting', 'history', 'literature', 'art', 'museums', 'tracking', 'beer', 'countryside']
254;['french'];['countryside', 'tracking', 'music']
255;['deutsche'];['tracking', 'literature', 'cinema', 'music', 'history', 'countryside', 'art', 'rafting', 'sport']
256;['dutch'];['countryside', 'museums', 'archeology', 'history', 'rafting']
257;['spanish'];['countryside', 'archeology', 'food', 'cinema']
258;['english'];['countryside', 'music', 'cinema', 'tracking', 'history', 'sport']
259;['bulgarian'];['beer']
260;['deutsche'];['literature', 'art', 'wine']
261;['italian'];['art', 'countryside', 'food']
262;['deutsche'];['cinema', 'history', 'archeology']
263;['chinese'];['tracking', 'literature', 'history', 'rafting']
264;['dutch'];['literature', 'beer', 'museums', 'tracking', 'rafting', 'wine', 'sport']
265;['deutsche'];['history', 'archeology', 'museums', 'tracking']
266;['italian'];['museums', 'tracking', 'rafting', 'sport', 'countryside', 'literature', 'history']
267;['deutsche'];['literature', 'beer', 'museums', 'history']
268;['english'];['wine', 'music', 'literature', 'archeology', 'rafting', 'sport', 'beer']
269;['deutsche'];['cinema', 'art']
270;['italian'];['literature', 'cinema', 'sport', 'wine']
271;['italian'];['literature', 'archeology']
272;['italian'];['countryside', 'history', 'archeology', 'sport', 'tracking', 'rafting', 'music', 'museums', 'literature']
273;['italian'];['wine', 'literature', 'history']
274;['english'];['countryside', 'cinema', 'wine', 'archeology', 'history']
275;['dutch'];['museums', 'history', 'countryside', 'music', 'archeology', 'beer', 'tracking']
276;['spanish'];['music', 'beer', 'literature', 'tracking']
277;['deutsche'];['literature', 'beer', 'sport', 'tracking', 'countryside', 'music', 'food', 'rafting']
278;['deutsche'];['rafting', 'sport', 'tracking', 'cinema', 'literature', 'history']
279;['italian'];['countryside', 'tracking', 'rafting', 'literature', 'beer']
280;['dutch'];['music', 'sport', 'food']
281;['bulgarian'];['tracking', 'sport', 'wine']
282;['bulgarian'];['museums', 'literature', 'archeology']
283;['dutch'];['tracking', 'countryside', 'cinema', 'art']
284;['chinese'];['rafting', 'tracking', 'literature', 'food', 'sport']
285;['deutsche'];['museums', 'countryside']
286;['dutch'];['rafting', 'sport', 'archeology', 'cinema', 'literature', 'food', 'music', 'tracking']
287;['italian'];['countryside', 'wine', 'rafting', 'art', 'tracking', 'food']
288;['dutch'];['music', 'beer', 'tracking', 'cinema']
289;['chinese'];['wine', 'museums', 'countryside', 'music', 'tracking', 'beer', 'cinema']
290;['bulgarian'];['cinema', 'rafting', 'tracking', 'literature', 'archeology', 'sport', 'history']
291;['english'];['art', 'rafting', 'cinema', 'archeology', 'tracking', 'literature']
292;['bulgarian'];['beer', 'art']
293;['deutsche'];['history', 'rafting', 'art', 'tracking']
294;['chinese'];['beer', 'music', 'wine', 'archeology', 'rafting', 'sport']
295;['deutsche'];['beer', 'cinema', 'rafting', 'food', 'history', 'sport', 'archeology']
296;['deutsche'];['art', 'rafting', 'beer', 'sport', 'food', 'archeology', 'wine']
297;['english'];['museums']
298;['italian'];['music', 'rafting', 'food', 'tracking']
299;['spanish'];['archeology', 'history']
300;['french'];['beer', 'rafting', 'cinema', 'literature', 'history']
301;['bulgarian'];['countryside', 'history', 'literature', 'museums', 'beer']
302;['french'];['literature', 'art', 'history', 'music', 'tracking']
303;['french'];['food', 'history', 'archeology', 'tracking']
304;['deutsche'];['history', 'food', 'music', 'archeology', 'art']
305;['italian'];['rafting', 'archeology', 'museums', 'tracking', 'wine']
306;['bulgarian'];['tracking', 'museums', 'rafting', 'history', 'countryside', 'art', 'cinema']
307;['italian'];['museums', 'food', 'tracking', 'archeology', 'countryside', 'literature', 'cinema', 'beer', 'sport', 'music', 'art', 'history']
308;['italian'];['archeology', 'history', 'food', 'sport', 'museums', 'rafting']
309;['deutsche'];['literature', 'history', 'wine', 'sport', 'cinema', 'archeology']
310;['dutch'];['art', 'sport', 'archeology', 'literature', 'museums', 'wine']
311;['italian'];['tracking', 'beer']
312;['deutsche'];['food']
313;['dutch'];['literature', 'museums', 'wine', 'art']
314;['italian'];['literature', 'beer', 'countryside', 'cinema', 'sport', 'archeology']
315;['english'];['countryside', 'sport', 'archeology', 'museums', 'tracking', 'rafting', 'cinema', 'music', 'wine', 'history', 'art']
316;['dutch'];['literature', 'food', 'beer']
317;['dutch'];['art', 'sport']
318;['dutch'];['archeology', 'rafting']
319;['english'];['cinema', 'literature', 'rafting', 'sport', 'music', 'food', 'beer', 'history', 'countryside', 'museums']
320;['chinese'];['archeology', 'history', 'art', 'sport', 'beer', 'countryside']
321;['spanish'];['tracking', 'sport', 'countryside', 'wine', 'beer', 'literature', 'cinema']
322;['french'];['music', 'tracking', 'beer', 'literature', 'cinema', 'countryside']
323;['english'];['rafting', 'art', 'tracking']
324;['spanish'];['rafting', 'literature', 'tracking', 'music']
325;['italian'];['sport']
326;['spanish'];['history', 'music', 'tracking']
327;['chinese'];['history', 'beer', 'archeology', 'sport']
328;['french'];['archeology', 'rafting', 'countryside', 'history', 'tracking', 'beer', 'sport', 'wine']
329;['french'];['beer', 'art', 'sport', 'museums', 'rafting', 'countryside']
330;['french'];['countryside', 'museums', 'music', 'tracking', 'cinema']
331;['french'];['literature', 'history', 'beer', 'sport', 'rafting', 'cinema', 'food']
332;['italian'];['countryside', 'food', 'beer', 'archeology', 'cinema']
333;['bulgarian'];['music', 'literature']
334;['chinese'];['beer', 'literature', 'food', 'countryside', 'museums', 'music']
335;['bulgarian'];['sport', 'literature']
336;['italian'];['rafting', 'food', 'wine', 'art', 'beer']
337;['bulgarian'];['art', 'food', 'tracking', 'sport', 'archeology', 'rafting', 'music']
338;['spanish'];['art', 'history', 'music']
339;['bulgarian'];['sport', 'wine', 'literature', 'music', 'history', 'cinema']
340;['french'];['history', 'music', 'art']
341;['chinese'];['archeology', 'cinema', 'history']
342;['chinese'];['art', 'archeology', 'countryside', 'rafting', 'tracking', 'food', 'museums', 'cinema']
343;['chinese'];['history', 'food', 'archeology', 'literature', 'rafting', 'music']
344;['english'];['museums', 'countryside', 'literature', 'archeology', 'music', 'art', 'sport', 'rafting', 'food']
345;['chinese'];['countryside', 'cinema', 'wine']
346;['deutsche'];['museums', 'tracking']
347;['spanish'];['cinema', 'wine', 'art', 'literature', 'food', 'history', 'museums']
348;['english'];['archeology', 'rafting', 'museums', 'sport', 'wine', 'countryside', 'art', 'tracking', 'literature', 'history']
349;['chinese'];['food', 'beer', 'wine', 'archeology', 'art']
350;['french'];['art', 'literature', 'music', 'archeology', 'history']
351;['dutch'];['archeology', 'countryside']
352;['italian'];['wine', 'art', 'literature', 'museums', 'music', 'history']
353;['bulgarian'];['food', 'tracking', 'rafting']
354;['dutch'];['archeology', 'art', 'beer']
355;['french'];['wine', 'food', 'archeology', 'art']
356;['english'];['tracking', 'art']
357;['bulgarian'];['sport', 'archeology', 'history', 'tracking', 'food']
358;['italian'];['literature', 'food', 'museums', 'tracking', 'rafting', 'countryside']
359;['dutch'];['archeology', 'art', 'countryside', 'cinema', 'rafting', 'food']
360;['deutsche'];['food', 'cinema', 'museums']
361;['chinese'];['archeology', 'literature', 'history', 'beer']
362;['spanish'];['art', 'museums', 'food', 'rafting', 'cinema']
363;['deutsche'];['beer', 'music']
364;['english'];['food', 'museums', 'countryside', 'sport', 'cinema']
365;['english'];['art', 'countryside', 'rafting', 'sport']
366;['deutsche'];['literature']
367;['bulgarian'];['wine']
368;['dutch'];['countryside', 'archeology', 'art', 'literature', 'tracking', 'wine']
369;['bulgarian'];['tracking', 'wine']
370;['bulgarian'];['history', 'countryside', 'art', 'cinema']
371;['french'];['rafting', 'wine', 'beer', 'art', 'cinema', 'sport', 'music', 'literature']
372;['french'];['sport', 'literature', 'tracking', 'rafting', 'countryside', 'beer', 'history', 'archeology']
373;['spanish'];['museums', 'countryside', 'literature', 'archeology']
374;['english'];['rafting', 'literature', 'countryside', 'tracking', 'wine', 'cinema']
375;['bulgarian'];['countryside', 'sport', 'history', 'archeology', 'literature']
376;['italian'];['museums', 'literature', 'history', 'cinema', 'music']
377;['bulgarian'];['beer', 'wine', 'literature', 'countryside', 'tracking']
378;['chinese'];['countryside', 'music', 'literature']
379;['english'];['museums', 'archeology']
380;['deutsche'];['beer', 'art', 'food']
381;['bulgarian'];['beer', 'literature', 'cinema', 'tracking', 'wine']
382;['bulgarian'];['cinema', 'art', 'beer', 'history', 'food', 'archeology', 'countryside']
383;['italian'];['tracking', 'archeology', 'literature', 'music', 'history', 'countryside', 'art', 'sport']
384;['english'];['tracking', 'art', 'cinema', 'archeology', 'wine', 'history']
385;['english'];['history', 'tracking', 'food', 'music', 'rafting', 'countryside', 'archeology', 'beer']
386;['bulgarian'];['history', 'music', 'food']
387;['italian'];['countryside', 'history', 'sport', 'archeology']
388;['spanish'];['history', 'music', 'cinema']
389;['italian'];['music', 'sport', 'cinema', 'rafting', 'art', 'wine', 'food', 'tracking', 'museums', 'history', 'literature', 'countryside']
390;['french'];['wine', 'food', 'beer', 'history']
391;['english'];['archeology', 'tracking', 'museums', 'countryside', 'history', 'art']
392;['deutsche'];['archeology', 'art', 'beer', 'music', 'food']
393;['dutch'];['museums', 'art', 'cinema']
394;['deutsche'];['beer', 'countryside', 'music']
395;['italian'];['music', 'literature', 'archeology']
396;['deutsche'];['art', 'tracking', 'beer', 'sport', 'rafting', 'history']
397;['italian'];['beer']
398;['spanish'];['art', 'cinema', 'music', 'beer', 'archeology', 'countryside', 'museums']
399;['chinese'];['countryside', 'sport', 'beer', 'archeology', 'tracking', 'food', 'cinema']
400;['chinese'];['beer', 'food', 'art', 'rafting', 'museums', 'wine']
401;['italian'];['archeology', 'wine', 'tracking', 'food', 'sport']
402;['bulgarian'];['history', 'museums', 'sport']
403;['french'];['beer', 'rafting', 'literature']
404;['italian'];['wine', 'literature', 'food', 'sport', 'tracking']
405;['french'];['literature', 'food', 'tracking', 'countryside', 'museums']
406;['chinese'];['literature', 'wine']
407;['chinese'];['food', 'cinema', 'wine', 'music', 'archeology', 'museums', 'history', 'literature', 'countryside']
408;['french'];['cinema', 'museums']
409;['spanish'];['archeology', 'music', 'tracking', 'rafting', 'countryside']
410;['french'];['tracking', 'literature', 'countryside', 'museums']
411;['spanish'];['literature', 'history', 'food', 'museums', 'sport']
412;['french'];['tracking', 'countryside', 'sport', 'music', 'history', 'beer', 'art']
413;['spanish'];['museums', 'sport', 'rafting', 'music', 'wine']
414;['deutsche'];['rafting', 'tracking', 'beer', 'literature']
415;['chinese'];['food', 'cinema']
416;['chinese'];['music', 'literature', 'countryside']
417;['french'];['art', 'countryside', 'literature', 'museums']
418;['bulgarian'];['tracking', 'food', 'sport', 'music']
419;['dutch'];['museums', 'archeology', 'art', 'wine', 'beer', 'history', 'sport']
