;guide;languages;city;attractions;keywords;price;date;duration
22;22;['chinese', 'spanish'];Lecce;['Basilica di Santa Croce', 'Roman Theatre'];['archeology', 'history'];18;2024-06-29;12
23;23;['english', 'italian', 'bulgarian'];Lecce;['Lecce Cathedral', 'Church of Santa Chiara', 'Palazzo dei Celestini'];['history', 'literature'];22;2024-06-01;9
24;24;['dutch', 'italian', 'bulgarian'];Lecce;"['Church of San Francesco della Scarpa', ""Colonna di Sant'Oronzo""]";['art', 'literature'];25;2024-06-29;8
25;25;['bulgarian'];Lecce;['Basilica di Santa Croce', 'Porta Napoli'];['art', 'history'];31;2024-06-12;7
26;26;['dutch'];Lecce;['Church of San Francesco della Scarpa', 'Museo Faggiano'];['literature', 'museums'];32;2024-06-14;5
27;27;['italian'];Lecce;['Roman Amphitheatre', 'Castello di Carlo V'];['archeology', 'history'];35;2024-06-10;6
28;28;['spanish'];Lecce;"['Lecce Cathedral', 'Torre del Parco', ""Piazza Sant'Oronzo""]";['art', 'history', 'literature'];34;2024-06-06;5
29;29;['bulgarian', 'chinese'];Lecce;['Palazzo dei Celestini'];['history'];29;2024-06-05;8
30;30;['french', 'deutsche', 'english'];Lecce;['Palazzo dei Celestini'];['history'];27;2024-06-12;6
31;31;['deutsche', 'french', 'english'];Lecce;['Lecce Cathedral'];['literature'];32;2024-06-23;10
32;32;['french', 'bulgarian'];Lecce;['Church of San Francesco della Scarpa'];['literature'];30;2024-06-16;12
33;33;['french'];Lecce;['Porta Napoli', 'Museo Faggiano', 'San Giovanni Battista Church'];['art', 'literature', 'museums'];29;2024-06-06;12
34;34;['chinese', 'spanish', 'bulgarian', 'italian'];Lecce;['Lecce Cathedral', 'Church of San Matteo', 'Roman Theatre'];['archeology', 'literature'];25;2024-06-25;10
35;35;['italian', 'french'];Lecce;['Church of Santa Chiara', 'Church of San Francesco della Scarpa'];['literature'];24;2024-06-05;6
36;36;['spanish'];Lecce;"['San Giovanni Battista Church', ""Piazza Sant'Oronzo"", ""Colonna di Sant'Oronzo""]";['art', 'literature'];31;2024-06-09;11
37;37;['dutch'];Lecce;['Porta Napoli', 'Villa Comunale di Lecce'];['art', 'countryside'];25;2024-06-11;5
38;38;['italian'];Lecce;['Castello di Carlo V', 'Lecce Cathedral'];['history', 'literature'];23;2024-06-21;11
39;39;['spanish', 'dutch'];Lecce;['Church of Santa Chiara'];['literature'];31;2024-06-15;10
40;40;['italian'];Lecce;['Celestine Convent', 'Church of San Francesco della Scarpa', 'Lecce Cathedral'];['literature'];23;2024-06-24;8
41;41;['spanish'];Lecce;"['Lecce Cathedral', ""Piazza Sant'Oronzo"", 'Piazza del Duomo']";['art', 'literature'];24;2024-06-02;8
42;42;['bulgarian'];Lecce;"[""Colonna di Sant'Oronzo"", 'Church of Santa Chiara', 'Celestine Convent']";['art', 'literature'];30;2024-06-22;9
43;43;['deutsche'];Lecce;['San Giovanni Battista Church', 'Museo Faggiano'];['literature', 'museums'];25;2024-06-13;5
44;44;['chinese', 'italian', 'bulgarian'];Lecce;"['Museo Faggiano', ""Colonna di Sant'Oronzo"", 'Celestine Convent']";['art', 'literature', 'museums'];31;2024-06-23;9
45;45;['chinese', 'french', 'dutch'];Lecce;"['Palazzo Carafa', ""Piazza Sant'Oronzo"", 'Roman Theatre']";['archeology', 'art', 'history'];26;2024-06-03;12
46;46;['chinese'];Lecce;['Museo Faggiano'];['museums'];28;2024-06-06;10
47;47;['italian', 'dutch', 'deutsche'];Lecce;['Lecce Cathedral', 'Church of Santa Chiara', 'Museo Faggiano'];['literature', 'museums'];35;2024-06-27;9
48;48;['italian', 'bulgarian'];Lecce;['Museo Faggiano'];['museums'];25;2024-06-11;8
49;49;['french', 'bulgarian'];Lecce;['Roman Theatre'];['archeology'];29;2024-06-06;11
